,car_name,variant,transmission,km_driven,owner_type,fuel_type,registeration,price,Date,year
115,Maruti CIAZ,DELTA 1.5 SHVS VVT MT,Manual,20701,1st Owner,Petrol,DL-12,759000.0,2019-09-20,2019-01-01
116,Jeep Compass,1.4  LONGITUDE (O) AT,Automatic,23690,1st Owner,Petrol,DL-3C,1857000.0,2020-11-04,2019-01-01
117,Maruti CIAZ,ALPHA 1.4 PETROL,Manual,79277,2nd Owner,Petrol,DL-6C,636000.0,2019-08-23,2017-01-01
118,Renault TRIBER,RXZ AT,Automatic,16093,1st Owner,Petrol,UP-32,708000.0,2021-11-29,2020-01-01
119,Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,30398,1st Owner,Petrol,DL-2C,623000.0,2019-10-02,2017-01-01
120,HYUNDAI GRAND I10,ASTA AT 1.2 KAPPA VTVT,Automatic,32744,1st Owner,Petrol,DL-12,502000.0,2022-09-26,2015-01-01
121,Volkswagen Polo,HIGHLINE PLUS 1.2L PETROL,Manual,18913,1st Owner,Petrol,DL-10,627000.0,2021-08-01,2018-01-01
122,Tata Tiago,XZ PLUS PETROL,Manual,53126,1st Owner,Petrol,HR-72,492000.0,2021-03-18,2019-01-01
123,Maruti Alto,LXI,Manual,24884,1st Owner,Petrol,UP-14,153000.0,2025-01-06,2010-01-01
124,Maruti Ciaz,VXI PLUS,Manual,47014,2nd Owner,Petrol,DL-2C,614000.0,2019-12-15,2016-01-01
125,KIA SELTOS,HTX 1.5 DIESEL,Manual,60147,1st Owner,Diesel,DL-4C,1357000.0,2018-12-22,2021-01-01
126,HYUNDAI VERNA,1.6 VTVT SX (O) AT,Automatic,95153,2nd Owner,Petrol,HR-26,881000.0,2024-11-24,2017-01-01
127,TATA TIAGO,XZA 1.2 REVOTRON,Automatic,53852,1st Owner,Petrol,DL-3C,511000.0,2024-04-26,2018-01-01
128,Mahindra Thar,LX HT PETROL 4WD MT,Manual,6089,1st Owner,Petrol,DL-10,1476000.0,2019-04-15,2021-01-01
129,Maruti Wagon R 1.0,LXI CNG,Manual,58419,1st Owner,CNG,HR-29,312000.0,2020-05-11,2014-01-01
130,HYUNDAI VENUE,S 1.2,Manual,74909,1st Owner,Petrol,UP-13,728000.0,2022-10-15,2020-01-01
131,Hyundai Creta,E PLUS 1.6 PETROL,Manual,28028,1st Owner,Petrol,DL-12,925000.0,2023-12-09,2017-01-01
132,MG HECTOR,SHARP DCT PETROL,Automatic,34505,1st Owner,Petrol,UP-16,1573000.0,2020-05-03,2020-01-01
133,Honda City,VX CVT PETROL,Automatic,26230,2nd Owner,Petrol,UP-14,1147000.0,2022-10-28,2020-01-01
134,HONDA CITY,SV CVT PETROL,Automatic,53566,1st Owner,Petrol,DL-4C,653000.0,2022-09-20,2015-01-01
135,Maruti Baleno,ZETA PETROL 1.2,Manual,26354,2nd Owner,CNG,DL-5C,736000.0,2022-12-27,2020-01-01
136,Maruti Swift Dzire,ZXI 1.2 BS IV,Manual,13470,1st Owner,Petrol,DL-5C,509000.0,2019-10-30,2016-01-01
137,Honda City,S MT PETROL,Manual,2,2nd Owner,Petrol,HR-26,315000.0,2022-09-12,2011-01-01
138,Maruti Swift,ZXI,Manual,40183,2nd Owner,Petrol,HR-26,525000.0,2019-07-12,2017-01-01
139,Honda City,V MT PETROL,Manual,19038,1st Owner,Petrol,DL-3C,794000.0,2023-12-31,2017-01-01
140,Tata NEXON,XM 1.2,Manual,50331,2nd Owner,CNG,DL-3C,696000.0,2022-06-14,2019-01-01
141,Honda Amaze,1.5L I-DTEC S,Manual,45360,2nd Owner,Diesel,HR-30,366000.0,2022-07-19,2015-01-01
142,HONDA AMAZE,1.2L I-VTEC E,Manual,20752,1st Owner,Petrol,DL-4C,608000.0,2022-11-08,2019-01-01
143,TATA HEXA,Varicor 400 XMA,Automatic,76644,1st Owner,Diesel,DL-7C,980000.0,2023-10-20,2018-01-01
144,Honda Amaze,1.2L I-VTEC VX,Manual,39936,1st Owner,Petrol,HR-26,392000.0,2019-03-10,2014-01-01
145,HYUNDAI XCENT,SX 1.2 (O),Manual,84007,2nd Owner,Petrol,DL-3C,447000.0,2020-06-11,2016-01-01
146,Maruti SWIFT,LXI,Manual,31519,1st Owner,Petrol,DL-3C,395000.0,2024-09-02,2014-01-01
147,Mahindra Thar,CRDE 4X4 AC,Manual,41410,1st Owner,Diesel,HR-26,718000.0,2018-04-27,2018-01-01
148,HYUNDAI CRETA,1.4 S PLUS,Manual,58830,1st Owner,Diesel,DL-1C,859000.0,2019-11-01,2017-01-01
149,Maruti CIAZ,VXI,Manual,33410,2nd Owner,Petrol,DL-12,566000.0,2018-07-16,2016-01-01
150,Maruti XL6,ALPHA MT,Manual,24087,1st Owner,Petrol,UP-32,1006000.0,2022-12-15,2020-01-01
151,Honda City,SV MT PETROL,Manual,28673,1st Owner,Petrol,DL-11,854000.0,2019-10-07,2019-01-01
152,Toyota URBAN CRUISER,HIGH AT,Automatic,30448,1st Owner,Petrol,DL-8C,1064000.0,2021-02-24,2021-01-01
153,Hyundai NEW SANTRO,ERA EXECUTIVE,Manual,39364,1st Owner,Petrol,DL-11,456200.0,2019-12-17,2020-01-01
155,Renault TRIBER,RXZ AT,Automatic,8756,1st Owner,Petrol,UP-32,729000.0,2021-02-01,2020-01-01
156,Maruti VITARA BREZZA,VDI,Manual,81027,1st Owner,Diesel,DL-1C,739000.0,2020-05-21,2019-01-01
157,Maruti ALTO K10,LXI CNG,Manual,91884,1st Owner,CNG,HR-26,318000.0,2021-11-29,2016-01-01
158,Honda City,VX (O) PETROL,Manual,70190,1st Owner,Petrol,HR-29,666000.0,2021-12-10,2015-01-01
159,HYUNDAI ELITE I20,MAGNA 1.2,Manual,33752,1st Owner,Petrol,DL-8C,513000.0,2019-12-16,2016-01-01
160,Honda Amaze,1.2 EXMT I VTEC,Manual,77120,1st Owner,Petrol,DL-4C,348000.0,2024-01-31,2014-01-01
161,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,35022,1st Owner,Petrol,DL-8C,472000.0,2021-04-18,2017-01-01
162,HONDA JAZZ,1.2L I-VTEC V AT,Automatic,28608,1st Owner,Petrol,DL-12,664000.0,2018-08-26,2017-01-01
163,HYUNDAI VERNA,1.6 VTVT SX (O) AT,Automatic,38660,1st Owner,Petrol,DL-1C,986000.0,2022-05-21,2018-01-01
164,Maruti ALTO K10,VXI,Manual,50002,1st Owner,Petrol,DL-3C,323000.0,2023-02-08,2018-01-01
165,Maruti Dzire,VXI,Manual,53069,1st Owner,Petrol,UP-16,547000.0,2024-12-23,2018-01-01
166,HONDA AMAZE,1.2L I-VTEC S,Manual,90618,1st Owner,CNG,DL-3C,628000.0,2018-10-14,2019-01-01
167,Hyundai Santro Xing,GL PLUS,Manual,49322,1st Owner,Petrol,DL-3C,202000.0,2022-06-20,2011-01-01
168,Hyundai Elite i20,SPORTZ 1.2,Manual,54124,1st Owner,Petrol,DL-12,585000.0,2024-02-01,2017-01-01
169,Maruti Swift,LXI,Manual,18862,1st Owner,Petrol,UP-14,585000.0,2019-03-16,2020-01-01
170,Hyundai Creta,EX 1.5 PETROL,Manual,45938,1st Owner,Petrol,HR-51,1109000.0,2018-10-04,2020-01-01
171,HYUNDAI CRETA,SX AT 1.6 PETROL,Automatic,13948,1st Owner,Petrol,UP-14,1337000.0,2020-10-15,2019-01-01
172,Honda City,1.5L I-VTEC V MT,Manual,38508,1st Owner,Petrol,DL-11,825000.0,2020-11-19,2018-01-01
173,Renault Kwid,1.0 RXT Opt,Manual,41823,1st Owner,Petrol,DL-8C,358000.0,2020-12-04,2018-01-01
174,Renault Duster,RXS CVT 106 PS,Automatic,74566,2nd Owner,Petrol,DL-3C,698000.0,2019-04-26,2018-01-01
175,Maruti Baleno,DELTA PETROL 1.2,Manual,28078,1st Owner,Petrol,UP-16,610000.0,2022-03-25,2018-01-01
176,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,1,1st Owner,Petrol,DL-10,456000.0,2020-09-28,2016-01-01
177,Hyundai Elite i20,1.2 SPORTS PLUS VTVT,Manual,49538,1st Owner,Petrol,DL-11,695000.0,2022-01-14,2019-01-01
178,Maruti Swift,VXI,Manual,57871,1st Owner,Petrol,DL-3C,533000.0,2019-07-23,2018-01-01
179,VOLKSWAGEN POLO,COMFORTLINE 1.0 TSI MT,Manual,13703,1st Owner,Petrol,DL-7C,803000.0,2023-04-19,2021-01-01
180,Maruti Baleno,ALPHA PETROL 1.2,Manual,25628,1st Owner,Petrol,HR-10,573000.0,2024-08-25,2016-01-01
181,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,57740,1st Owner,Petrol,DL-8C,389000.0,2024-06-21,2015-01-01
182,Maruti Vitara Brezza,VXI,Manual,4178,1st Owner,Petrol,DL-2C,901000.0,2024-02-22,2022-01-01
183,Honda City,SV MT PETROL,Manual,72662,1st Owner,Petrol,UP-14,584000.0,2022-09-06,2015-01-01
184,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,17815,1st Owner,Petrol,DL-9C,484000.0,2019-12-27,2017-01-01
185,Honda City,V MT PETROL,Manual,31912,1st Owner,Petrol,DL-10,848000.0,2023-12-03,2018-01-01
186,SKODA RAPID,1.0 AMBITION TSI MT,Manual,45347,1st Owner,Petrol,HR-01,893000.0,2021-11-09,2020-01-01
187,HYUNDAI CRETA,1.6 CRDI SX PLUS AUTO,Automatic,58009,2nd Owner,Diesel,UP-32,977000.0,2023-01-30,2018-01-01
188,Hyundai Grand i10,Magna 1.2 AT  VTVT,Automatic,51693,1st Owner,Petrol,DL-8C,475000.0,2025-03-20,2017-01-01
189,Hyundai Grand i10,SPORTZ 1.2 KAPPA VTVT,Manual,24035,1st Owner,Petrol,DL-8C,454000.0,2018-03-27,2016-01-01
190,Maruti Wagon R 1.0,LXI,Manual,33016,2nd Owner,Petrol,DL-7C,298000.0,2022-08-04,2014-01-01
191,Renault Kwid,1.0 RXT Opt,Manual,15030,1st Owner,Petrol,DL-3C,361000.0,2023-07-21,2018-01-01
192,Hyundai Elite i20,ASTA 1.2,Manual,20590,1st Owner,Petrol,DL-4C,712000.0,2022-12-25,2018-01-01
193,Maruti CELERIO,VXI CNG,Manual,49841,1st Owner,CNG,DL-12,489000.0,2020-03-07,2018-01-01
194,Hyundai Elite i20,1.2 MAGNA PLUS VTVT,Manual,22634,2nd Owner,Petrol,DL-1C,629000.0,2020-10-26,2019-01-01
195,KIA SELTOS,GTX 1.4 GDI AT PETROL,Automatic,13672,1st Owner,Petrol,UP-70,1441000.0,2018-09-10,2019-01-01
196,Honda Jazz,1.2 SV MT,Manual,51897,1st Owner,Petrol,DL-14,461000.0,2019-07-22,2016-01-01
197,Maruti Alto K10,LXI CNG,Manual,65329,1st Owner,CNG,DL-9C,401000.0,2021-08-20,2019-01-01
198,Maruti SWIFT DZIRE,ZXI 1.3,Manual,78054,2nd Owner,Petrol,DL-9C,241000.0,2018-03-26,2010-01-01
199,Tata NEXON,XZ 1.2,Manual,17620,1st Owner,Petrol,DL-9C,938000.0,2023-09-25,2021-01-01
200,MAHINDRA XUV 3OO,1.2 W6 MT,Manual,31346,1st Owner,Petrol,DL-3C,1011000.0,2021-06-25,2021-01-01
201,Honda City,S MT PETROL,Manual,61408,2nd Owner,Petrol,DL-4C,449000.0,2024-03-24,2013-01-01
202,Maruti Baleno,ALPHA PETROL 1.2,Manual,20599,2nd Owner,Petrol,HR-26,623000.0,2024-11-19,2018-01-01
203,Hyundai Elite i20,MAGNA PLUS 1.2,Manual,33238,1st Owner,Petrol,HR-26,610000.0,2024-01-07,2019-01-01
204,VOLKSWAGEN VENTO,1.2 TSI HIGHLINE PLUS AT,Automatic,48179,1st Owner,Petrol,HR-51,850000.0,2024-06-19,2019-01-01
205,HONDA CITY,SV MT PETROL,Manual,62994,1st Owner,Petrol,DL-1C,542000.0,2019-07-10,2014-01-01
206,Hyundai Elite i20,ASTA 1.2,Manual,62683,1st Owner,Petrol,DL-12,572000.0,2024-05-18,2015-01-01
207,HYUNDAI VENUE,1.0 TURBO GDI SX+ AT,Automatic,57801,1st Owner,Petrol,HR-76,929000.0,2024-12-12,2019-01-01
208,HYUNDAI CRETA,SX 1.6 DIESEL,Manual,61764,2nd Owner,Diesel,DL-5C,993000.0,2023-07-10,2018-01-01
209,Volkswagen Ameo,HIGHLINE PLUS DSG 1.5,Automatic,59657,1st Owner,Diesel,DL-8C,759000.0,2022-11-08,2019-01-01
210,VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,68377,1st Owner,Diesel,DL-1C,1996000.0,2025-01-05,2018-01-01
211,HONDA AMAZE,1.5 VXMT I DTEC,Manual,52767,1st Owner,Diesel,DL-10,645000.0,2022-08-22,2018-01-01
212,Hyundai NEW I20 N LINE,N8 1.0 TURBO GDI DCT,Automatic,14958,1st Owner,Petrol,HR-14,1144000.0,2020-12-17,2022-01-01
213,Maruti Swift,LXI,Manual,11175,1st Owner,Petrol,DL-3C,591000.0,2019-12-25,2020-01-01
214,Volkswagen Polo,COMFORTLINE 1.0 PETROL,Manual,27132,1st Owner,Petrol,DL-10,662000.0,2025-03-27,2018-01-01
215,Hyundai Verna,1.6 SX VTVT AT (O),Automatic,42423,1st Owner,Petrol,DL-12,933000.0,2023-06-30,2017-01-01
216,Maruti Swift,LXI,Manual,14058,1st Owner,Petrol,DL-2C,562000.0,2024-01-28,2019-01-01
217,Mahindra Thar,LX D 4*4 MT HT,Manual,16749,2nd Owner,Diesel,HR-24,1500000.0,2019-04-16,2021-01-01
218,Maruti ALTO 800,LXI,Manual,27997,2nd Owner,Petrol,HR-36,336000.0,2020-09-09,2018-01-01
219,HYUNDAI GRAND I10,Sportz1.2 CRDI,Manual,68845,1st Owner,Diesel,UP-83,500000.0,2022-10-01,2017-01-01
220,Toyota Etios,G SP,Manual,78652,1st Owner,Petrol,HR-29,361000.0,2020-10-30,2014-01-01
221,Maruti SWIFT,LXI,Manual,51768,1st Owner,Petrol,DL-1C,546000.0,2023-06-21,2020-01-01
222,MAHINDRA XUV 3OO,1.2 W6 AT,Automatic,6970,1st Owner,Petrol,DL-12,1122000.0,2019-09-24,2022-01-01
223,VOLKSWAGEN TIGUAN,HIGHLINE A/T,Automatic,75468,1st Owner,Diesel,DL-1C,1865000.0,2023-06-09,2018-01-01
224,Hyundai NEW I20,SPORTZ 1.0T GDI IMT,Manual,15840,1st Owner,Petrol,UP-14,793000.0,2025-02-24,2021-01-01
225,Honda WR-V,1.2 i-VTEC S MT,Manual,50925,1st Owner,Petrol,UP-53,642000.0,2020-02-22,2018-01-01
226,Maruti SWIFT,ZXI,Manual,48929,1st Owner,Petrol,DL-3C,458000.0,2018-01-04,2014-01-01
227,Hyundai Grand i10,MAGNA 1.2 KAPPA VTVT,Manual,30183,1st Owner,Petrol,DL-8C,465000.0,2018-09-25,2017-01-01
229,TOYOTA YARIS,G MT,Manual,44145,1st Owner,Petrol,DL-1C,847000.0,2023-01-07,2020-01-01
230,Maruti Dzire,VDI,Manual,85262,1st Owner,Diesel,DL-12,585000.0,2019-04-23,2018-01-01
231,Maruti DZIRE,ZDI Plus AMT,Automatic,82887,1st Owner,Diesel,DL-6C,625000.0,2020-03-28,2018-01-01
232,Hyundai Creta,SX AT 1.6 PETROL,Automatic,26003,2nd Owner,Petrol,HR-26,1220000.0,2024-12-18,2019-01-01
233,Toyota Camry,2.5 AT,Automatic,93626,1st Owner,Petrol,HR-26,1196000.0,2022-06-17,2015-01-01
234,Maruti Swift,LXI,Manual,29670,1st Owner,Petrol,HR-29,568000.0,2019-03-26,2021-01-01
235,Mahindra Thar,LX D 4*4 MT HT,Manual,41433,1st Owner,Diesel,HR-54,1484250.0,2018-11-18,2021-01-01
236,HYUNDAI NEW SANTRO,ASTA 1.1 MT,Manual,41819,1st Owner,Petrol,DL-5C,456000.0,2022-08-07,2019-01-01
237,Hyundai VENUE,1.4 CRDI MT SX,Manual,40655,1st Owner,Diesel,DL-5C,928000.0,2025-04-07,2019-01-01
238,Honda Jazz,1.2 V MT,Manual,35734,1st Owner,Petrol,UP-16,471000.0,2020-12-10,2016-01-01
239,Maruti IGNIS,DELTA 1.2,Manual,32089,1st Owner,Petrol,DL-3C,487000.0,2019-10-20,2018-01-01
240,Maruti Baleno,DELTA PETROL 1.2,Manual,42431,1st Owner,Petrol,HR-26,676000.0,2023-08-06,2021-01-01
